,Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,Investment Type,amount
1895,16-03-2017,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,1.72
1896,16-03-2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,11.61
1897,16-03-2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,26.66
1900,21-03-2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,31.562
1901,21-03-2017,Flipkart,eCommerce,ECommerce Marketplace,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,12040.0
1902,21-03-2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,45.58
1903,22-03-2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,1.6426
1905,23-03-2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,129.0
1906,23-03-2017,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,481.6
1908,24-03-2017,Bizom,Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,3.2852
1909,24-03-2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,860.0
1911,28-03-2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,2.58
1912,28-03-2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,4.3
1915,29-03-2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,2.795
1916,29-03-2017,Licious,ECommerce,Online Meat Ordering platform,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,86.0
1917,29-03-2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,0.43
