,Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,Investment Type,amount
0,03-04-2015,Swiggy,Online Food Delivery,,Bangalore,"Accel Partners, SAIF Partners",Private Equity,17.2
1,04-04-2015,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,1.72
2,06-04-2015,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,1.032
4,07-04-2015,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,18.92
5,07-04-2015,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,1.419
6,07-04-2015,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,1290.0
7,08-04-2015,FirstCry.com,eCommerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,86.0
8,08-04-2015,MobiKwik,Digital / Mobile Wallet,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,215.0
9,08-04-2015,Ola,Cab Aggregator,,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,3440.0
10,09-04-2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,17.2
11,09-04-2015,Changer Mints,Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,1.419
12,09-04-2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,1.72
14,09-04-2015,Urban Ladder,Online Furnishing\\neCommerce,,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,430.0
16,10-04-2015,Whatfix,Interactive\\xc2\\xa0 How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,7.74
17,11-04-2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,215.0
18,13-04-2015,Capricoast,Online Kitchen Furniture,,Bangalore,Accel Partners India,Seed Funding,10.75
19,13-04-2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,8.6
20,13-04-2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,2.58
21,13-04-2015,ZopNow,Online Grocer,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,86.0
22,14-04-2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,43.0
23,15-04-2015,Grofers,Hyper-Local Online/Mobile Grocery,,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,301.0
24,15-04-2015,PepperTap,Hyper-Local Online/Mobile Grocery,,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,86.0
25,15-04-2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,344.0
26,16-04-2015,Taskbob,OnDemand\\nMobile Handyman Services,,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,10.32
27,16-04-2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,13.76
28,17-04-2015,Robosoft,Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,103.2
30,20-04-2015,1mg,Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,51.6
31,20-04-2015,Freshdesk,Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,430.0
32,20-04-2015,Pastiwala,Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,34.4
33,20-04-2015,Sulekha.com,Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,240.8
35,22-04-2015,Avanti Learning,Private Coaching Centers,,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,12.9
36,22-04-2015,Eat.Shop.Love,Fashion ECommerce,,Bangalore,Undisclosed Investor,Private Equity,30.1
38,23-04-2015,Craftstvilla,Ethnic Product eCommerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,154.8
40,23-04-2015,happay,usiness expense management,,Bangalore,AngelPrime,Seed Funding,4.3
41,23-04-2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,15.48
42,23-04-2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,8.6
44,23-04-2015,Simplilearn,Online Certification Courses,,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,129.0
45,24-04-2015,Coverfox,Online Insurance Aggregator,,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,103.2
47,27-04-2015,Grab,Food Logistics & Delivery,,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,8.6
48,27-04-2015,LogicRoots,Interactive Educational Games,,Jaipur,"Ah! Ventures, Calcutta Angels,\\xc2\\xa0 91SpringBoard",Seed Funding,3.44
49,27-04-2015,Torqus,Restaurant Management Platform,,Pune,S S Mukherji & Others,Seed Funding,3.01
50,28-04-2015,Babajobs,Grey collar Job Board,,Bangalore,SEEK Ltd & affiliates,Private Equity,86.0
51,28-04-2015,Jay Robotix,Robotic Program learning,,Hyderabad,Cross Border Angels & others,Seed Funding,2.15
52,28-04-2015,Naaptol.com,Tele-Shopping / eCommerce,,Mumbai,Mitsui & Co & existing investors,Private Equity,184.9
55,29-04-2015,Icertis,Cloud Enterprise Software,,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,51.6
56,29-04-2015,PiQube,Hiring Analytics platform,,Chennai,The HR Fund,Seed Funding,4.3
57,29-04-2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,8.6
58,29-04-2015,Tracxn,Startup Analytics platform,,Bangalore,SAIF Partners,Private Equity,30.1
59,29-04-2015,Tradelab,Financial Markets Software,,Bangalore,Rainmatter,Seed Funding,3.44
60,29-04-2015,Travel Triangle,Online Travel Marketplace,,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,68.8
61,01-05-2015,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,860.0
62,01-05-2015,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,0.86
63,04-05-2015,Applicate,Workforce Management Software,,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,4.73
64,04-05-2015,SpoonJoy,Online Food Delivery,,Bangalore,SAIF Partners,Seed Funding,8.6
65,04-05-2015,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,1.72
67,05-05-2015,Fintellix,Banking Analytics Platform,,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,129.0
68,05-05-2015,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,2.15
69,05-05-2015,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,5.59
70,05-05-2015,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,51.6
71,06-05-2015,Delhivery,Ecommerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,731.0
72,06-05-2015,Swiggy,Online Food Delivery,,Bangalore,Norwest Venture Partners,Private Equity,129.0
73,07-05-2015,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,30.1
74,07-05-2015,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,86.0
76,07-05-2015,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,43.0
77,08-05-2015,BuyHatke,Online Product Comparison,,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,8.6
78,08-05-2015,GrandOpinion,Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,1.29
81,08-05-2015,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,17.2
82,12-05-2015,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,17.2
84,12-05-2015,ZapStitch,Cloud Data Integration Platform,,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,17.2
87,14-05-2015,IndianRoots.com,Lifestyle Ecommerce Portal,,Gurgaon,KJS Group,Private Equity,43.0
88,14-05-2015,RedPolka,Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,2.15
89,15-05-2015,Venturesity,Online Job skills Showcase,,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,2.322
92,19-05-2015,Akosha,Business Messaging App,,New Delhi,Sequoia Capital,Private Equity,137.6
93,19-05-2015,Chaayos,Offline Tea Chain,,New Delhi,Tiger Global Management,Private Equity,8.6
94,19-05-2015,Cooey,Health Mobile App,,Bangalore,Subhash Goyal,Seed Funding,4.042
95,19-05-2015,Crown-it,Hyperlocal Mobile Marketplace,,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,47.3
96,19-05-2015,MeetUniv,Online Ed-Tech Platform,,Noida,Peesh Venture Capital,Seed Funding,8.6
97,19-05-2015,Trucksfirst,Trucking Logistic Operations,,Gurgaon,SAIF partners,Private Equity,86.0
98,20-05-2015,Lookup,B2C Messaging App,,Bangalore,Biz Stone,Private Equity,25.8
101,22-05-2015,EveningFlavors,Online Table Reservation,,Bangalore,Sandiep Shrivatsava,Seed Funding,4.3
102,22-05-2015,Nudgespot,Customer Engagement Platform,,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,5.375
105,25-05-2015,ZenParent,Parents focused Web Content,,Bangalore,i2india Ventures,Seed Funding,4.3
106,26-05-2015,Goodbox,On-Demand Business messaging,,Bangalore,Manipal Group,Seed Funding,1.72
107,26-05-2015,Renderlogy,Online Home D\\xc3\\xa9cor,,Hyderabad,Astarc Ventures,Private Equity,8.6
108,26-05-2015,UrbanPro,On-demand Service marketplace,,Bangalore,Nirvana Venture Advisors,Private Equity,17.2
109,27-05-2015,Casa2inns,Affordable Hotel Booking Online,,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,43.0
110,27-05-2015,FleetRover,Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,1.548
111,27-05-2015,Postman,API Workflow platform,,Bangalore,Nexus Venture Partners,Seed Funding,8.6
112,28-05-2015,TheKarrier,Last Mile Logistics,,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,2.064
114,28-05-2015,Zoomcar,Self-driven Car rental,,Bangalore,Sequoia Capital,Private Equity,43.0
115,30-05-2015,Ather Energy,Electric Scooter Manufacturer,,Bangalore,Tiger Global,Private Equity,103.2
116,01-06-2015,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,4.3
118,01-06-2015,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,3.01
119,01-06-2015,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,8.6
120,01-06-2015,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,34.4
121,01-06-2015,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,4.73
122,01-06-2015,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,4.3
123,01-06-2015,Veeba Foods,Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,51.6
125,02-06-2015,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,3.01
127,02-06-2015,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,301.0
128,03-06-2015,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,129.0
130,03-06-2015,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,2.15
132,03-06-2015,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,1.29
134,03-06-2015,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,0.86
135,03-06-2015,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,25.8
136,04-06-2015,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,1178.2
137,04-06-2015,Flipkart,eCommerce platform,,Bangalore,Morgan Stanley,Private Equity,430.0
138,04-06-2015,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,8.6
139,04-06-2015,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,172.0
140,05-06-2015,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,43.0
141,05-06-2015,Medwell Ventures,Healthcare\\nService provider,,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,86.0
142,08-06-2015,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,344.0
144,09-06-2015,Clovia,Private Label lingerie Ecommerce,,New Delhi,IvyCap Ventures,Private Equity,43.0
145,09-06-2015,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,2.0124
147,09-06-2015,Swiggy,Online Food Ordering,,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,141.9
148,09-06-2015,Teritree,Digital Marketing Services,,Bangalore,KCL,Seed Funding,1.204
150,10-06-2015,Voonik,Fashion Ecommerce store,,Bangalore,"Sequoia Capital, Seedfund",Private Equity,43.0
151,11-06-2015,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,3.01
152,11-06-2015,Faircent.com,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,2.15
153,12-06-2015,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,137.6
154,15-06-2015,Homelane,Home Furnishing Solutions,,Bangalore,Sequoia Capital,Private Equity,430.0
156,15-06-2015,Shippr,Intra-City Logistics service,,Bangalore,i2india Pvt Ltd,Seed Funding,4.3
157,16-06-2015,CouponRaja,Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,4.3
162,17-06-2015,MyDentist,Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,70.52
164,18-06-2015,Fracktal Works,3D Printer Manufacturer,,Bangalore,Neoteric Infomatique Limited,Private Equity,25.8
165,18-06-2015,Hansa Customer Equity,IT / Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,43.0
168,19-06-2015,FundsIndia.com,Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,94.6
169,19-06-2015,Housejoy,Home services marketplace,,Bangalore,Matrix Partners,Private Equity,34.4
170,20-06-2015,Cupick,Social Network for Artists,,Bangalore,Group of Angel Investors from US/India,Seed Funding,1.032
171,20-06-2015,Tracxn,Startup funding platform,,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,86.0
172,21-06-2015,Holachef,Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,26.66
174,22-06-2015,elong,Data Driven recruitment recommendation,,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,43.0
177,22-06-2015,Vidgyor,Video Advertisement Platform,,Bangalore,AngelPrime,Seed Funding,4.3
178,23-06-2015,EduKart,Online education marketplace,,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,8.6
179,23-06-2015,Goodservice,Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,13.76
181,23-06-2015,Treebo,Online Budget Hotel Booking Service,,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,51.6
183,24-06-2015,Retention.ai,App Analytics platform,,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,4.3
186,24-06-2015,The Porter,Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,47.3
187,25-06-2015,Fusion Microfinance,Micro Finance Platform,,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,73.96
188,25-06-2015,Zinka,Freight logistics platform,,Bangalore,"Accel Partners, Flipkart",Private Equity,51.6
189,26-06-2015,CreditMantri,Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,21.5
190,26-06-2015,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,2.15
191,29-06-2015,AdWyze,Marketing / Advertising Automation platform,,Bangalore,Mape Advisory,Seed Funding,8.6
193,29-06-2015,UrbanClap,Hyperlocal services marketplace,,New Delhi,"SAIF Partners,\\xc2\\xa0 Accel Partners",Private Equity,86.0
194,29-06-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,3.44
197,30-06-2015,Flatchat,Flat rental Mobile App,,Bangalore,Commonfloor,Private Equity,21.5
198,30-06-2015,MyCFO,Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,12.9
200,01-07-2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,8.6
202,01-07-2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,116.1
206,02-07-2015,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,516.0
207,02-07-2015,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,43.0
208,02-07-2015,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,1.3846
209,03-07-2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,55.9
210,03-07-2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,8.6
213,04-07-2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,3.397
217,06-07-2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,258.0
220,07-07-2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,43.0
221,07-07-2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,25.8
222,08-07-2015,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,0.172
224,08-07-2015,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,258.0
225,08-07-2015,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,64.5
226,08-07-2015,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,94.6
227,08-07-2015,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,4.042
228,08-07-2015,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,86.0
229,08-07-2015,Lybrate,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,87.72
231,08-07-2015,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,860.0
232,08-07-2015,Zoomcar,Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,94.6
233,09-07-2015,Bluestone,Online Jewellery Store,,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,139.32
234,09-07-2015,News in shorts,News Aggregator mobile app,,Noida,Tiger Global,Private Equity,172.0
237,10-07-2015,Footprints Education,Pre-School Chain,,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,5.891
238,10-07-2015,Infinity Assurance,Warranty Programs Service Administration,,New Delhi,Indian Angel Network,Seed Funding,5.16
239,10-07-2015,Loylty Rewards,Premium Loyalty Rewards Point Management,,Mumbai,IndianIdeas.com,Private Equity,166.41
240,13-07-2015,Ameyo,Contact Center Software Platform,,Gurgaon,Forum Synergies PE Fund,Private Equity,43.0
241,13-07-2015,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Goldman Sachs,Private Equity,86.0
243,14-07-2015,Boxmyspace,Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,2.58
244,14-07-2015,HackerRank,Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,64.5
245,14-07-2015,MySmartPrice,Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,86.0
246,14-07-2015,WickedRide,Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,6.794
247,14-07-2015,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,4.3
249,15-07-2015,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,19.78
250,15-07-2015,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,860.0
251,15-07-2015,Roadrunnr,Hyper local logistics platform,,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,94.6
252,16-07-2015,Ketto,Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,6.02
253,17-07-2015,Omnikart,Industrial Supplies B2B ecommerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,0.86
254,17-07-2015,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,13.76
255,20-07-2015,Innoviti,Payment Solutions platform,,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,41.71
256,20-07-2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,129.0
257,21-07-2015,Joy by nature,Organic Food ecommerce,,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,8.6
259,22-07-2015,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,258.0
260,22-07-2015,Iqlect,Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,17.2
261,23-07-2015,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,8.6
262,23-07-2015,HolidayIQ,Travel information portal,,Bangalore,MakeMyTrip,Private Equity,129.0
265,23-07-2015,MedGenome,Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,172.0
266,23-07-2015,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,2.752
267,23-07-2015,Nestaway,Luxury Rental Homes,,Bangalore,"Flipkart, Tiger Global",Private Equity,109.65
268,23-07-2015,Quikr,Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,516.0
269,24-07-2015,BroEx,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,8.6
270,25-07-2015,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,129.0
274,27-07-2015,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,51.6
276,28-07-2015,Flipkart.com,Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,6020.0
277,28-07-2015,Opinio,Hyperlocal food & grocery store,,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,11.18
278,28-07-2015,Pepperfry,Online home d\\xc3\\xa9cor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,860.0
279,28-07-2015,Zoctr,Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,8.6
280,29-07-2015,Swajal,Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,10.32
281,29-07-2015,trueHb,Medical Tech Instruments,,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,20.64
282,29-07-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\\xc2\\xa0 Mohandas Pai",Private Equity,17.2
283,29-07-2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,,Bangalore,"Paytm, SAIF Partners,\\xc2\\xa0 Tiger Global Management & others",Private Equity,430.0
285,30-07-2015,Droom.in,Used Vehicle Marketplace,,New Delhi,"Lightbox Ventures, Beenos",Private Equity,137.6
286,30-07-2015,MadRat Games,Educational Board Games,,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,1.4448
287,30-07-2015,Noodle Play,Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,1.4448
288,30-07-2015,Pipa Bella,Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,5.16
289,30-07-2015,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,20.64
291,31-07-2015,Bona Vita,Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,43.0
292,31-07-2015,LazyLad,Hyperlocal Grocery App,,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,4.3
293,31-07-2015,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,17.2
295,01-08-2015,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,3.44
296,01-08-2015,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4300.0
297,03-08-2015,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,43.0
